class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,6211.700195,6.0787201,0.133675,-0.108263,-0.241938,0.470375,3.4019201,11.6511002,-1.75789
not,1229.949951,8.6591101,-0.0000754,-0.0298247,-0.0297494,0.816562,2.5654199,1.193,4.89151
not,675.5230103,6.8218999,0.501732,0.344659,-0.157072,0.313933,3.5531001,14.6555996,-3.83266
not,357.4150085,5.4709301,0.652473,0.665354,0.0128806,0.342417,2.83726,7.19379,-3.5044301
not,2461.179932,5.83108,-1.62233,-0.316325,1.306,0.439482,4.0751801,19.4016991,-3.04179
not,2780.469971,6.6809602,0.459949,-0.0841323,-0.544081,0.756229,2.8378601,8.5615301,3.9804499
not,183.6959991,5.8430901,0.209027,0.169202,-0.039825,0.271647,2.51878,4.9720001,-5.4089499
not,3003.350098,6.7999001,0.292441,0.0865293,-0.205912,0.474925,4.2368498,20.1826,0.665085
not,3907.48999,7.6054502,0.669051,0.286276,-0.382775,0.541918,4.9359002,28.9200001,3.3854699
not,1405.660034,7.0870299,-0.0461908,-0.0638424,-0.0176516,0.674618,2.21824,4.3021698,3.7306099
not,161.5330048,7.1799402,-0.794135,-0.295928,0.498207,0.480478,2.2312801,5.2226501,-2.33179
not,1035.339966,7.1526799,0.0836408,0.0145183,-0.0691224,0.831186,2.7860401,4.0297699,6.1626601
not,812.8369751,6.8629799,-0.752541,-0.172351,0.58019,0.514825,3.4598801,17.4186001,-1.6403
not,751.1430054,6.5048399,0.878002,0.075342,-0.80266,0.419733,3.64556,21.9971008,1.34778
not,2495.159912,7.1890101,-0.041745,-0.70326,-0.661514,0.769567,4.08325,9.0072899,12.691
not,3537.159912,7.5402699,0.125386,-0.235489,-0.360874,0.670486,3.2741599,7.2660899,3.59671
not,0,6.0272198,-6.1043401,-1.37641,4.7279401,0.157902,3.3580899,27.3589001,-9.7347898
not,172.0299988,6.9109702,0.292667,-0.183749,-0.476416,0.300774,2.7360401,13.4540005,-4.01755
not,1410.199951,8.2650003,-5.4355202,-2.2952399,3.14028,0.339056,3.52531,23.3827991,-5.86906
not,747.15802,6.92836,0.0835654,0.212295,0.128729,0.3646,3.2970901,14.8150997,0.383499
not,129.8170013,6.4285798,0.417902,0.516357,0.0984542,0.227025,2.28809,5.5338101,-4.28685
not,2260.530029,8.8505297,0.0418204,-0.0938352,-0.135656,0.441263,4.3433299,17.6478996,-0.76886
not,62.7524986,8.1676397,-1.50538,-0.669105,0.836278,0.350152,2.36643,9.1852903,-5.0588398
not,180.0829926,16.7844009,0,0,0,0.348326,1.46367,0,-0.982834
not,2472.580078,5.3673301,-0.125461,0.071047,0.196508,0.731342,3.1359701,15.6420002,6.9919
not,90.5201035,6.8889098,-2.42505,-0.753112,1.67194,0.198414,3.1213801,6.9717002,-7.91434
not,140.1109924,7.2469401,-0.585184,-0.25172,0.333464,0.194199,2.3360701,4.88589,-5.4534302
not,3334.540039,5.8517499,0.585636,0.299245,-0.286391,0.880802,3.0776701,4.9293299,12.0455999
not,1415.680054,5.6842499,0.125235,-0.0650375,-0.190273,0.495542,3.48563,17.0097008,-0.18924
not,1160.109985,5.4186401,0.459949,0.422086,-0.0378625,0.738972,3.12973,14.8951998,8.4914398
not,1252.449951,7.0314398,0.334638,-0.0198591,-0.354498,0.831994,2.73441,3.03495,5.59547
not,0,7.5876298,-4.3066001,-2.1904099,2.1161799,0.137072,3.54337,16.9097996,-16.8045006
not,3549.780029,7.6575599,0.384748,0.0319804,-0.352767,0.646563,2.5956299,8.0672102,2.81622
not,1070.800049,5.90767,0.501769,-0.209301,-0.71107,0.761056,2.3766899,9.2639503,2.49698
not,1304.349976,7.3985,-0.0000754,0.106517,0.106593,0.427112,3.3211,12.4281998,2.3399999
not,1968.76001,5.59201,1.25446,0.225683,-1.02878,0.713672,3.9937601,24.0991993,11.3823004
not,650.9160156,7.00071,-0.334337,-0.162791,0.171546,0.538624,2.99524,7.7832398,1.05742
not,776.7719727,7.6785998,-0.501845,-0.156037,0.345808,0.454567,3.23456,10.2273998,-2.1449299
not,1705.469971,6.3692698,0.710871,0.284535,-0.426336,0.620563,3.2405901,11.6187,1.4256901
not,494.2929993,4.66785,2.5085399,0.656049,-1.8525,0.399531,3.2196,15.7363997,-6.7447701
not,531.7180176,5.3624701,0.710758,0.340551,-0.370207,0.463195,4.1585898,15.7144003,-0.996353
not,2225.919922,7.63761,1.17074,-0.0897725,-1.26052,0.625765,3.56148,10.6457996,6.6712599
not,2094.149902,5.44666,0.209027,0.399603,0.190576,0.517531,3.9750299,14.5012999,2.4511399
not,1156.069946,10.9216995,-0.961793,-0.25338,0.708413,0.467267,3.5595801,15.5344,-1.83638
not,1601.780029,5.09338,5.1844501,1.7726001,-3.41184,0.790865,2.5346301,20.5273991,7.9168701
not,464.1099854,5.8942699,0.585485,0.351909,-0.233577,0.17377,2.7515199,4.72506,-6.3626099
not,1821.199951,6.2369299,0.167282,-0.175878,-0.343159,0.815809,2.7924299,6.6931,8.5519896
not,223.1940002,7.8617301,0.167206,0.0764048,-0.0908014,0.391406,2.23876,3.9663701,-2.40961
not,1881.219971,7.0155802,-1.58887,-0.0350199,1.5538501,0.404682,3.6868401,13.6257,-0.312462
not,2016.910034,5.2827802,0.668975,-0.047267,-0.716242,0.691777,3.8252201,16.9459,12.8802004
not,1372.199951,7.40272,-0.0000754,0.253866,0.253941,0.383998,4.42308,18.2205009,-1.73511
