FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
2121,35409,2,herb,7005,6489,5988,5986,6726,14423,8334,34661,32754,8753,2358,2358,2301,2358,15,15,15,15,7005.000000000000000,6489.000000000000000,5988.000000000000000,5986.000000000000000,6726.000000000000000,14423,8334,0.0580463,-0.0001670,28.2598000,0.0777893,36.2885017,35.4062996,36.2885017,36.2885017,15,15,15,15,0,2,0,2,1,1,14399,8244,7247,5546,1820
2122,35416,2,herb,6874,6225,5671,5622,6587,13893,8276,35208,32617,8788,2257,2257,2323,2257,21,21,21,21,6874.000000000000000,6225.000000000000000,5671.000000000000000,5622.000000000000000,6587.000000000000000,13893,8276,0.0747267,-0.0043390,24.0168991,0.1577450,34.7344017,35.7500000,34.7344017,34.7344017,21,21,21,21,0,2,0,2,1,1,13859,8209,7430,5540,1707
2123,35431,2,herb,7099,6589,5883,6078,7144,14706,8025,35931,33294,8761,2520,2520,2444,2520,13,13,13,13,7099.000000000000000,6589.000000000000000,5883.000000000000000,6078.000000000000000,7144.000000000000000,14706,8025,0.0967990,0.0163030,21.2691002,0.0953674,38.7817993,37.5999985,38.7817993,38.7817993,13,13,13,13,0,2,0,2,1,1,14659,7914,7422,5468,1827
2124,35450,3,shrub,5653,4480,3084,4252,6560,10876,6782,44567,37975,10408,1841,1740,872,1898,38,38,38,38,5653.000000000000000,4480.000000000000000,3084.000000000000000,4252.000000000000000,6560.000000000000000,10876,6782,0.3604310,0.1592150,17.8521004,3.8720400,28.3264999,13.4286003,26.7758999,29.2040997,38,38,38,38,1,3,0,3,1,1,10715,6826,8565,5440,1797
2125,35452,5,water,5858,4333,2102,1637,949,6722,11414,20379,28685,9969,0,0,0,0,0,0,0,0,5858.000000000000000,4333.000000000000000,2102.000000000000000,1637.000000000000000,949.000000000000000,6722,11414,-0.3779090,-0.1243650,0.6106230,2.8667400,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,6808,11677,9151,4994,1746
2126,35465,3,shrub,5766,5033,3468,4414,6895,11562,6786,43593,36691,10347,1678,1618,962,1828,39,39,39,35,5766.000000000000000,5033.000000000000000,3468.000000000000000,4414.000000000000000,6895.000000000000000,11562,6786,0.3306960,0.1200200,17.3889008,3.7334599,25.8292999,14.8000002,24.9074001,28.1364002,39,39,39,35,0,3,0,3,1,1,11412,6813,8414,5154,1681
2127,35467,3,shrub,5756,4930,3309,4323,6529,11232,7021,43482,37112,10195,1617,1632,705,1873,39,39,39,27,5756.000000000000000,4930.000000000000000,3309.000000000000000,4323.000000000000000,6529.000000000000000,11232,7021,0.3273020,0.1328620,16.9762993,3.3830900,24.8913002,10.8570995,25.1091003,28.8181992,39,39,39,27,0,3,0,3,1,1,11092,7060,8474,5188,1783
2128,35468,3,shrub,5886,4939,3403,4470,6409,11341,7187,42796,37199,10153,1425,1380,1015,1636,39,39,39,32,5886.000000000000000,4939.000000000000000,3403.000000000000000,4470.000000000000000,6409.000000000000000,11341,7187,0.3063600,0.1355260,17.1065998,3.2869301,21.9361992,15.6250000,21.2318993,25.1765003,39,39,39,32,0,3,0,3,1,1,11209,7215,8447,5302,1885
2129,35469,3,shrub,5612,4910,3186,4251,6226,10928,7174,43341,37451,10582,1223,1203,709,1542,37,37,37,31,5612.000000000000000,4910.000000000000000,3186.000000000000000,4251.000000000000000,6226.000000000000000,10928,7174,0.3229920,0.1432030,16.8083000,4.2716699,18.8234997,10.9090996,18.5139008,23.7346992,37,37,37,31,0,3,0,3,1,1,10800,7234,8422,5113,1879
2130,35470,3,shrub,5527,4837,3173,4157,6462,10924,6932,43942,37157,10466,1495,1448,999,1683,39,39,39,35,5527.000000000000000,4837.000000000000000,3173.000000000000000,4157.000000000000000,6462.000000000000000,10924,6932,0.3413600,0.1342430,17.5237999,4.0059199,23.0000000,15.3750000,22.2879009,25.8999996,39,39,39,35,0,3,0,3,1,1,10782,6995,8432,5101,1740
